VIA_CLASE;VIA_PAR;VIA_NOMBRE;VIA_NOMBRE_ACENTOS;CO_DISTRITO
PLAZA;DE;ALCAUDETE;ALCAUDETE;16
CALLE;DEL;ALCAUDON;ALCAUDÓN;11
CALLE;DE LA;ALCAZABA;ALCAZABA;12
CALLE;DE;ALCAZAR DE SAN JUAN;ALCÁZAR DE SAN JUAN;10
CALLE;DE;ALCION;ALCIÓN;11
PLAZA;DE;ALCIRA;ALCIRA;9
CALLE;DE;ALCOBENDAS;ALCOBENDAS;16
CAMINO;DE;ALCOBENDAS;ALCOBENDAS;8
CARRETERA;DE;ALCOBENDAS;ALCOBENDAS;8
CARRETERA;DE;ALCOBENDAS A BARAJAS;ALCOBENDAS A BARAJAS;21
CARRETERA;DE;ALCOBENDAS A BARAJAS;ALCOBENDAS A BARAJAS;21
CALLE;DE;ALCOCER;ALCOCER;17
CALLE;DE;ALCOCER;ALCOCER;17
CALLE;DE;ALCOLEA;ALCOLEA;6
CALLE;DE;ALCONERA;ALCONERA;20
CALLE;DE;ALCONERA;ALCONERA;20
CALLE;DE;ALCORES;ALCORES;13
CALLE;DE;ALCORISA;ALCORISA;16
CALLE;DEL;ALCORNOQUE;ALCORNOQUE;9
CALLE;DE;ALDAPA;ALDAPA;11
CALLE;DE;ALDAYA;ALDAYA;16
CALLE;DE;ALDEA DEL FRESNO;ALDEA DEL FRESNO;2
CALLE;DE;ALDEA REAL;ALDEA REAL;9
CALLE;DE;ALDEANUEVA DE LA VERA;ALDEANUEVA DE LA VERA;10
CALLE;DE;ALDEBARAN;ALDEBARÁN;9
CALLE;DE;ALDONZA LORENZO;ALDONZA LORENZO;8
CALLE;DE LA;ALEGRIA;ALEGRÍA;11
CALLE;DE;ALEGRIA DE ORIA;ALEGRÍA DE ORIA;20
CALLE;DE;ALEIXANDRE;ALEIXANDRE;15
CALLE;DE;ALEJANDRINA MORAN;ALEJANDRINA MORÁN;10
CALLE;DE;ALEJANDRO CASONA;ALEJANDRO CASONA;8
CALLE;DE;ALEJANDRO CHACON;ALEJANDRO CHACÓN;15
AVENIDA;DE;ALEJANDRO DE LA SOTA;ALEJANDRO DE LA SOTA;16
AVENIDA;DE;ALEJANDRO DE LA SOTA;ALEJANDRO DE LA SOTA;21
AVENIDA;DE;ALEJANDRO DE LA SOTA;ALEJANDRO DE LA SOTA;21
CALLE;DE;ALEJANDRO DUMAS;ALEJANDRO DUMAS;2
CALLE;DE;ALEJANDRO FERRANT;ALEJANDRO FERRANT;2
CALLE;DE;ALEJANDRO GONZALEZ;ALEJANDRO GONZÁLEZ;4
CALLE;DE;ALEJANDRO HUMBOLT;ALEJANDRO HUMBOLT;18
CALLE;DE;ALEJANDRO MORAN;ALEJANDRO MORÁN;11
CALLE;DE;ALEJANDRO NAVARRO;ALEJANDRO NAVARRO;10
CALLE;DE;ALEJANDRO RODRIGUEZ;ALEJANDRO RODRÍGUEZ;6
CALLE;DE;ALEJANDRO SAINT AUBIN;ALEJANDRO SAINT AUBIN;2
