id_sensor;intensidad;dia;mes;año
5614.0;0.0;26;2;2026
5615.0;0.0;26;2;2026
5616.0;440.0;26;2;2026
5617.0;480.0;26;2;2026
5618.0;520.0;26;2;2026
7093.0;840.0;26;2;2026
7088.0;520.0;26;2;2026
5586.0;840.0;26;2;2026
7092.0;840.0;26;2;2026
5619.0;0.0;26;2;2026
7086.0;120.0;26;2;2026
6981.0;840.0;26;2;2026
5582.0;999.0;26;2;2026
3452.0;1200.0;26;2;2026
9991.0;260.0;26;2;2026
3453.0;1040.0;26;2;2026
5622.0;1020.0;26;2;2026
3663.0;820.0;26;2;2026
11480.0;140.0;26;2;2026
5623.0;760.0;26;2;2026
10444.0;420.0;26;2;2026
5624.0;980.0;26;2;2026
3834.0;840.0;26;2;2026
5625.0;700.0;26;2;2026
5626.0;1060.0;26;2;2026
5627.0;340.0;26;2;2026
5628.0;60.0;26;2;2026
5629.0;400.0;26;2;2026
5630.0;300.0;26;2;2026
5631.0;20.0;26;2;2026
5632.0;160.0;26;2;2026
5633.0;120.0;26;2;2026
5634.0;900.0;26;2;2026
5635.0;640.0;26;2;2026
5636.0;800.0;26;2;2026
5637.0;580.0;26;2;2026
5638.0;480.0;26;2;2026
5639.0;120.0;26;2;2026
5640.0;20.0;26;2;2026
5641.0;200.0;26;2;2026
5642.0;220.0;26;2;2026
5643.0;280.0;26;2;2026
5645.0;999.0;26;2;2026
5646.0;920.0;26;2;2026
5647.0;40.0;26;2;2026
5648.0;180.0;26;2;2026
5649.0;200.0;26;2;2026
5650.0;420.0;26;2;2026
5651.0;220.0;26;2;2026
3790.0;1180.0;26;2;2026
5652.0;760.0;26;2;2026
5653.0;140.0;26;2;2026
5654.0;180.0;26;2;2026
5655.0;260.0;26;2;2026
5656.0;120.0;26;2;2026
5658.0;860.0;26;2;2026
5659.0;1220.0;26;2;2026
5660.0;240.0;26;2;2026
5661.0;80.0;26;2;2026
5662.0;240.0;26;2;2026
3667.0;280.0;26;2;2026
3668.0;240.0;26;2;2026
5663.0;100.0;26;2;2026
5664.0;60.0;26;2;2026
5665.0;200.0;26;2;2026
5666.0;160.0;26;2;2026
5667.0;200.0;26;2;2026
5668.0;220.0;26;2;2026
5669.0;140.0;26;2;2026
5670.0;1240.0;26;2;2026
5671.0;220.0;26;2;2026
5672.0;380.0;26;2;2026
5673.0;960.0;26;2;2026
5674.0;300.0;26;2;2026
3751.0;240.0;26;2;2026
5675.0;360.0;26;2;2026
5676.0;1020.0;26;2;2026
5677.0;60.0;26;2;2026
5678.0;360.0;26;2;2026
5679.0;100.0;26;2;2026
5681.0;300.0;26;2;2026
7111.0;760.0;26;2;2026
5682.0;440.0;26;2;2026
5683.0;40.0;26;2;2026
5684.0;800.0;26;2;2026
5685.0;1280.0;26;2;2026
5686.0;1140.0;26;2;2026
5687.0;1160.0;26;2;2026
5688.0;0.0;26;2;2026
5689.0;1160.0;26;2;2026
