idelem;lon;lat;district_code;district_name
10674;-3.636218;40.408459;NA;NA
10675;-3.637635;40.408812;NA;NA
10676;-3.638024;40.408065;NA;NA
10677;-3.638570;40.410065;NA;NA
10678;-3.699739;40.419376;NA;NA
10679;-3.622658;40.453841;NA;NA
10680;-3.716850;40.397234;NA;NA
10681;-3.621600;40.454722;NA;NA
10682;-3.717526;40.401422;NA;NA
10683;-3.748766;40.378463;NA;NA
10684;-3.748809;40.378455;NA;NA
10685;-3.679964;40.440710;NA;NA
10686;-3.705591;40.503459;NA;NA
10687;-3.707074;40.502000;NA;NA
10688;-3.701411;40.503234;NA;NA
10689;-3.699624;40.503306;NA;NA
10690;-3.697140;40.504100;NA;NA
10691;-3.699764;40.504278;NA;NA
10692;-3.708196;40.504572;NA;NA
10693;-3.669056;40.509481;NA;NA
10694;-3.667485;40.510471;NA;NA
10695;-3.623856;40.418567;NA;NA
10696;-3.624584;40.419136;NA;NA
10697;-3.624529;40.419502;NA;NA
10698;-3.624893;40.419538;NA;NA
10699;-3.626003;40.421514;NA;NA
10700;-3.627121;40.422617;NA;NA
10701;-3.658664;40.431596;NA;NA
10702;-3.657225;40.431808;NA;NA
10703;-3.627241;40.423218;NA;NA
10704;-3.627713;40.423436;NA;NA
10705;-3.656737;40.431976;NA;NA
10706;-3.629371;40.425727;NA;NA
10707;-3.654735;40.432153;NA;NA
10708;-3.629720;40.426639;NA;NA
10709;-3.630641;40.427474;NA;NA
10710;-3.653678;40.432394;NA;NA
10711;-3.630888;40.428249;NA;NA
10712;-3.631727;40.428975;NA;NA
10713;-3.632813;40.430470;NA;NA
10714;-3.634000;40.432113;NA;NA
10715;-3.652460;40.432564;NA;NA
10716;-3.651351;40.432630;NA;NA
10717;-3.634103;40.432489;NA;NA
10718;-3.650721;40.432804;NA;NA
10719;-3.635053;40.433570;NA;NA
10720;-3.636354;40.435361;NA;NA
10721;-3.637253;40.437030;NA;NA
10722;-3.649680;40.432951;NA;NA
10723;-3.622140;40.417241;NA;NA
10724;-3.649150;40.432936;NA;NA
10725;-3.647914;40.433165;NA;NA
10726;-3.647433;40.433489;NA;NA
10727;-3.613043;40.420524;NA;NA
10728;-3.607905;40.422463;NA;NA
10729;-3.605270;40.423330;NA;NA
10730;-3.622060;40.418879;NA;NA
10731;-3.646497;40.433939;NA;NA
